"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"23.11.2020","members","Новые подписчики","",1
"20.11.2020","views","","",0
"20.11.2020","visitors","","",0
"20.11.2020","members","Новые подписчики","",1
"11.11.2020","views","","",0
"11.11.2020","visitors","","",0
"11.11.2020","feedback","Нравится","",1
"09.11.2020","views","","",0
"09.11.2020","visitors","","",0
"09.11.2020","members","Новые подписчики","",1
"20.10.2020","views","","",0
"20.10.2020","visitors","","",0
"20.10.2020","feedback","Нравится","",1
"18.10.2020","views","","",0
"18.10.2020","visitors","","",0
"18.10.2020","feedback","Нравится","",1
"17.10.2020","views","","",0
"17.10.2020","visitors","","",0
"17.10.2020","feedback","Нравится","",2
"17.10.2020","members","Новые подписчики","",1
"10.10.2020","views","","",0
"10.10.2020","visitors","","",0
"10.10.2020","feedback","Нравится","",1
"09.10.2020","views","","",0
"09.10.2020","visitors","","",0
"09.10.2020","feedback","Нравится","",16
"09.10.2020","members","Отписавшиеся подписчики","",1
"25.09.2020","views","","",0
"25.09.2020","visitors","","",0
"25.09.2020","feedback","Нравится","",1
"09.09.2020","views","","",0
"09.09.2020","visitors","","",0
"09.09.2020","feedback","Нравится","",11
"09.09.2020","members","Новые подписчики","",1
"20.08.2020","views","","",0
"20.08.2020","visitors","","",0
"20.08.2020","feedback","Нравится","",2
"10.08.2020","views","","",0
"10.08.2020","visitors","","",0
"10.08.2020","members","Новые подписчики","",1
"22.07.2020","views","","",0
"22.07.2020","visitors","","",0
"22.07.2020","feedback","Нравится","",1
"09.07.2020","views","","",0
"09.07.2020","visitors","","",0
"09.07.2020","feedback","Нравится","",1
"02.07.2020","views","","",0
"02.07.2020","visitors","","",0
"02.07.2020","members","Новые подписчики","",2
"02.07.2020","members","Отписавшиеся подписчики","",1
"19.06.2020","views","","",0
"19.06.2020","visitors","","",0
"19.06.2020","members","Новые подписчики","",1
"14.06.2020","views","","",0
"14.06.2020","visitors","","",0
"14.06.2020","feedback","Нравится","",1
"05.06.2020","views","","",0
"05.06.2020","visitors","","",0
"05.06.2020","members","Отписавшиеся подписчики","",1
"01.06.2020","views","","",0
"01.06.2020","visitors","","",0
"01.06.2020","feedback","Нравится","",1
"01.06.2020","feedback","Рассказали друзьям","",1
"26.05.2020","views","","",0
"26.05.2020","visitors","","",0
"26.05.2020","members","Новые подписчики","",1
"20.05.2020","views","","",0
"20.05.2020","visitors","","",0
"20.05.2020","members","Отписавшиеся подписчики","",1
"15.05.2020","views","","",0
"15.05.2020","visitors","","",0
"15.05.2020","feedback","Нравится","",1
"11.04.2020","views","","",0
